,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
1719,Reyes Cortez," Jul 31, 1992", 5-1-0,135,Unknown,JUNIOR,67,67
1720,Santo Curatolo," Jan 18, 1995", 6-1-0,125,Unknown,,63,63
1721,Diego Lopes," Dec 30, 1994", 19-3-0,145,Orthodox,,71,71
1722,Daniel Santos," Mar 12, 1995", 8-1-0,135,Unknown,WILLYCAT,67,67
1723,Liudvik Sholinian," Jan 20, 1990", 9-2-1,135,Orthodox,PALMEYROS,70,70
1724,Gilbert Urbina," Apr 05, 1996", 6-2-0,185,Orthodox,THE RGV BAD BOY,69,69
1725,Bryan Battle," Sep 21, 1994", 5-1-0,185,Unknown,POOH BEAR,74,74
1726,Brady Hiestand," Apr 30, 1999", 4-1-0,135,Unknown,BAM BAM,68,68
1727,Jonas Bilharinho," May 22, 1990", 8-1-1,145,Unknown,SHIVA,71,71
1728,Kolton Englund," Jul 09, 1992", 9-3-0,155,Unknown,THE WHITE ASSASSIN,68,68
1729,Abus Magomedov," Sep 02, 1990", 24-4-1,185,Unknown,,74,74
1730,Jesse Murray," Jan 26, 1993", 8-3-0,205,Unknown,,75,75
1731,Martin Sano," May 30, 1991", 4-2-1,170,Unknown,,71,71
1732,Danny Abbadi," Jul 03, 1983", 4-6-0,155,Orthodox,THE ASSASSIN,71,71
1733,Papy Abedi," Jun 30, 1978", 10-4-0,185,Southpaw,MAKAMBO,71,71
1734,Ricardo Abreu," Apr 27, 1984", 5-1-0,185,Orthodox,DEMENTE,71,71
1735,Daniel Acacio," Dec 27, 1977", 30-18-0,180,Orthodox,,68,68
1736,Sam Adkins," Apr 26, 1965", 7-20-2,225,Orthodox,THE EXPERIENCE,75,75
1737,Nick Agallar," Jan 13, 1979", 24-6-0,155,Orthodox,,68,68
1738,Fabio Aguiar," Feb 10, 1988", 17-1-0,185,Unknown,,72,72
1739,Hitomi Akano," Jul 27, 1974", 18-10-0,135,Southpaw,GIRLFIGHT MONSTER,64,64
1740,Razak Al-Hassan," May 14, 1982", 13-5-0,205,Orthodox,,74,74
1741,Alfonso Alcarez," Jun 10, 1970", 1-3-1,145,Unknown,,63,63
1742,Gilbert Aldana," Aug 25, 1977", 6-2-0,250,Orthodox,EL PELIGRO,73,73
1743,Kenneth Alexander," Sep 25, 1977", 7-6-0 (1 NC),155,Orthodox,THE MACHINE,69,69
1744,Olaf Alfonso," Aug 06, 1974", 8-12-0,170,Orthodox,,74,74
1745,Pablo Alfonso," May 09, 1983", 9-7-0,145,Unknown,THE HURRICANE,68,68
1746,Amir Aliakbari," Jun 10, 1984", 10-1-0,250,Unknown,,75,75
1747,George Allen," Jan 13, 1967", 13-19-2,205,Switch,,74,74
1748,Magno Almeida," Jun 06, 1985", 10-3-0 (1 NC),155,Unknown,,72,72
1749,Ericka Almeida," Mar 05, 1989", 7-3-0,115,Orthodox,,66,66
1750,Estefani Almeida," Oct 17, 1988", 7-3-0,125,Orthodox,,64,64
1751,Lucas Almeida," Jan 13, 1991", 12-0-0,155,Unknown,,71,71
1752,Mauricio Alonso," Feb 27, 1980", 13-7-0 (1 NC),170,Unknown,,74,74
1753,Victor Altamirano," Jan 23, 1991", 9-1-0,125,Unknown,EL MAGNIFICO,66,66
1754,Sean Alvarez," Jul 14, 1971", 4-3-0,235,Orthodox,,72,72
1755,Amilcar Alves," Aug 08, 1988", 15-12-0,170,Southpaw,,72,72
1756,Maiara Amanajas dos Santos," Jul 11, 1987", 7-3-0,115,Southpaw,,65,65
1757,Jimmy Ambriz," Jan 26, 1970", 17-21-1,315,Southpaw,THE TITAN,74,74
1758,Karl Amoussou," Nov 21, 1985", 27-7-2,185,Orthodox,THE PSYCHO,71,71
1759,Matt Andersen," May 29, 1971", 14-8-1,230,Southpaw,,74,74
1760,Andy Anderson," Jul 16, 1974", 0-1-0,240,Unknown,THE HAMMER,66,66
1761,Derek Anderson," Feb 02, 1990", 14-3-0 (1 NC),155,Unknown,BARBARIC,72,72
1762,Alex Andrade," May 14, 1974", 10-5-0,200,Orthodox,EL TORO,71,71
1763,Reese Andy," Mar 31, 1973", 7-3-0,205,Orthodox,RIPTIDE,72,72
1764,Julius Anglickas," Jul 23, 1991", 5-1-0,205,Orthodox,,75,75
1765,Chad Anheliger," Dec 01, 1986", 10-5-0,135,Unknown,,66,66
1766,Yoji Anjo," Mar 28, 1967", 0-5-1,205,Orthodox,MR. 200%,71,71
1767,Azunna Anyanwu," Aug 05, 1981", 14-5-0,251,Orthodox,ZULU,73,73
1768,Shinya Aoki," May 09, 1983", 39-7-0 (1 NC),154,Southpaw,TOBIKAN JUDAN,71,71
1769,Josh Appelt," Jun 19, 1983", 15-7-0,255,Southpaw,,70,70
1770,Erik Apple," Aug 26, 1977", 10-3-0,170,Orthodox,,72,72
1771,Kenji Arai," Oct 05, 1979", 15-15-5,145,Southpaw,,70,70
1772,Romie Aram," Dec 02, 1977", 7-1-0,170,Orthodox,,70,70
1773,Art Arciniega," Oct 15, 1981", 15-7-0,145,Unknown,KING ARTHUR,68,68
1774,Ricardo Arona," Jul 17, 1978", 14-5-0,205,Orthodox,THE BRAZILIAN TIGER,71,71
1775,Chalid Arrab," May 28, 1975", 7-3-0,205,Orthodox,DIE FAUST,71,71
1776,Cesar Arzamendia," Jan 31, 1991", 8-3-0,155,Orthodox,GOKU,71,71
1777,Arman Ashimov," Jan 14, 1992", 11-3-1,125,Unknown,MUSTAFA OZTURIK,66,66
1778,Khusein Askhabov," Feb 13, 1995", 23-0-0,145,Unknown,LION,68,68
1779,Ibo Aslan," Apr 23, 1996", 8-0-0,205,Unknown,THE LAST OTTOMAN,75,75
1780,Bruno Assis," May 23, 1992", 8-4-0,185,Orthodox,BRUNAO,74,74
1781,Pat Audinwood," Apr 16, 1986", 11-2-1,155,Orthodox,AWESOMELY AWESOME,72,72
1782,Jose Augusto," Mar 28, 1992", 6-2-0 (1 NC),251,Unknown,GUGU,75,75
1783,Levi Avera," May 17, 1982", 18-15-0,170,Unknown,,73,73
1784,Anthony Avila," Dec 29, 1988", 13-5-0,145,Unknown,,67,67
1785,Chris Avila," Jan 16, 1993", 5-4-0,145,Orthodox,,70,70
1786,Saad Awad," Jun 07, 1983", 20-9-0,155,Unknown,ASSASSIN,71,71
1787,Javy Ayala," Aug 20, 1988", 10-5-0,265,Unknown,EYE CANDY,73,73
1788,Luiz Azeredo," Jun 10, 1976", 15-10-0,154,Orthodox,,69,69
1789,Luciano Azevedo," Jun 25, 1981", 17-9-1,161,Orthodox,,75,75
1790,Niklas Backstrom," Aug 22, 1989", 11-3-0 (1 NC),145,Orthodox,,73,73
1791,Izabela Badurek," Jul 11, 1991", 6-3-0,115,Orthodox,,65,65
1792,Mehdi Baghdad," Apr 13, 1985", 11-5-0,155,Orthodox,THE SULTAN,73,73
1793,Bryan Baker," Oct 13, 1985", 18-5-0,185,Orthodox,THE BEAST,75,75
1794,Stephen Banaszak," Dec 07, 1990", 5-5-0,145,Unknown,,72,72
1795,Marcin Bandel," Oct 10, 1989", 15-7-0,155,Orthodox,BOMBA,70,70
1796,Junior Barata," Jan 25, 1982", 9-3-1,170,Orthodox,,70,70
1797,Daniel Barez," Dec 10, 1988", 12-4-0,125,Unknown,,66,66
1798,Shonte Barnes," Feb 09, 1987", 5-1-1,185,Unknown,SHYNE,72,72
1799,David Baron," Feb 15, 1973", 17-4-1,155,Switch,,66,66
1800,Dan Barrera," Dec 23, 1980", 3-1-0,170,Orthodox,THE FIREMAN,69,69
1801,Alexandre Barros," Nov 19, 1976", 22-11-0,170,Southpaw,BAIXINHO,69,69
1802,Ricardo Barros," Mar 22, 1976", 2-2-0,205,Unknown,,73,73
1803,Stephen Bass," Nov 14, 1982", 11-2-0,145,Orthodox,BIGFISH,69,69
1804,Shayna Baszler," Aug 08, 1980", 15-11-0,135,Orthodox,THE QUEEN OF SPADES,67,67
1805,Michel Batista," Apr 20, 1984", 4-1-0 (1 NC),260,Orthodox,,75,75
1806,Jeff Bedard," Feb 06, 1970", 13-3-0,145,Orthodox,LITTLE POPEYE,66,66
1807,Eric Bedard," Sep 11, 1984", 6-7-0,239,Unknown,LUCKY STRIKES,74,74
1808,Lyle Beerbohm," Feb 05, 1979", 24-3-0,155,Southpaw,FANCY PANTS,70,70
1809,Charles Bennett," Nov 23, 1979", 30-33-2,155,Orthodox,KRAZY HORSE,68,68
1810,Joe Benoit," Mar 12, 1982", 11-4-0,170,Orthodox,,69,69
1811,Len Bentley," Nov 30, 1982", 10-6-0,155,Unknown,,69,69
1812,Steve Berger," May 20, 1973", 21-23-2 (1 NC),170,Orthodox,THE RED NOSED PITBULL,71,71
1813,Bret Bergmark," Nov 24, 1973", 6-1-1,170,Unknown,THE ANGRY HICK,69,69
1814,Keith Berish," Nov 14, 1985", 5-1-0 (1 NC),205,Orthodox,SHA BANG BANG,72,72
1815,Keith Berry," Oct 25, 1987", 15-14-1 (1 NC),185,Unknown,,73,73
1816,Edson Berto," Jul 05, 1983", 17-12-1,155,Orthodox,LITTLE TIGER,66,66
1817,Allen Berube," Aug 25, 1974", 4-3-0,155,Orthodox,MONSTAH LOBSTAH,68,68
1818,Anton Berzin," Sep 29, 1989", 5-1-0,205,Orthodox,THE BODY SNATCHER,74,74
1819,Jeremiah Billington," Nov 14, 1977", 11-2-0,205,Orthodox,,69,69
1820,Chris Birchler," Jun 05, 1987", 7-4-0,205,Switch,THE BIG BUCK,75,75
1821,Caio Bittencourt," May 22, 1997", 14-6-0,185,Unknown,,72,72
1822,Jason Black," Jul 15, 1972", 23-4-1,155,Orthodox,THE BLACK LEGION,68,68
1823,Arlene Blencowe," Apr 11, 1983", 9-6-0,145,Unknown,ANGERFIST,65,65
1824,Byron Bloodworth," Aug 16, 1983", 6-3-0,135,Orthodox,,68,68
1825,Dashawn Boatwright," Feb 29, 1988", 3-1-0,205,Orthodox,"BUCK, THE 400-POUND SILVERBACK",72,72
1826,Dan Bobish," Jan 26, 1970", 17-9-0,345,Southpaw,,74,74
1827,Jerry Bohlander," Feb 12, 1974", 11-4-0,199,Orthodox,,71,71
1828,Kotetsu Boku," May 27, 1977", 25-11-2,154,Orthodox,,69,69
1829,Denys Bondar," Jun 27, 1992", 12-1-0,125,Orthodox,PSYCHO,66,66
1830,Jesse Bongfeldt," Aug 28, 1980", 16-5-1,185,Orthodox,WATER,72,72
1831,Caio Borralho," Jan 16, 1993", 8-1-0 (1 NC),185,Unknown,,73,73
1832,Francois Botha," Sep 28, 1968", 0-1-0,260,Orthodox,WHITE BUFFALO,74,74
1833,Melton Bowen," Jul 16, 1969", 0-1-0,225,Orthodox,THE PUNISHER,72,72
1834,Ashe Bowman," Nov 17, 1976", 9-11-0,155,Unknown,THE ARCHER,69,69
1835,Paul Bradley," Jun 13, 1983", 23-8-0 (2 NC),170,Orthodox,THE GENTLEMAN,69,69
1836,Ebenezer Fontes Braga," Apr 14, 1969", 13-7-2,199,Orthodox,PITBULL,72,72
1837,Joe Brammer," Aug 23, 1983", 7-3-1,155,Orthodox,THE SOUTH SIDE STRANGLER,68,68
1838,Chris Brennan," Oct 12, 1971", 21-13-1,170,Orthodox,THE WESTSIDE STRANGLER,68,68
1839,Aaron Brink," Nov 12, 1974", 26-26-0 (2 NC),205,Orthodox,,75,75
1840,Marcelo Brito," Nov 27, 1977", 13-8-0,170,Orthodox,JUNGLE BOY,73,73
1841,Joanderson Brito," Feb 11, 1995", 11-2-1,145,Unknown,TUBARAO,68,68
1842,Mike Bronzoulis," Jan 05, 1979", 18-9-1,155,Unknown,THE GREEK,72,72
1843,Lee Brousseau," Oct 04, 1974", 5-3-0,205,Unknown,MANIMAL,73,73
1844,Dominic Brown," Jun 04, 1982", 16-23-0,190,Unknown,,71,71
1845,Todd Brown," Dec 13, 1976", 16-4-0 (1 NC),205,Orthodox,BULLDOG,71,71
1846,Humberto Brown Morrison," Nov 03, 1984", 4-6-0,145,Unknown,,70,70
1847,Junie Browning," May 12, 1984", 5-6-0,155,Orthodox,,69,69
1848,Jules Bruchez," Aug 16, 1977", 1-2-0,205,Southpaw,,72,72
1849,Steve Bruno," Nov 03, 1981", 15-6-0,170,Orthodox,HOLLYWOOD,70,70
1850,Fernando Bruno," Feb 24, 1982", 15-4-0,145,Unknown,ACOUGUEIRO,66,66
1851,Josh Bryant," Apr 23, 1980", 15-4-0,185,Orthodox,THE BEAST,70,70
1852,Dennis Bryant," Oct 18, 1985", 5-2-0,205,Orthodox,THE BEARD,72,72
1853,Courtney Buck," Mar 19, 1982", 12-11-0,135,Orthodox,,70,70
1854,Shawn Bunch," Mar 19, 1983", 7-3-0,135,Unknown,BUNCH THE GREAT,65,65
1855,Justin Burlinson," May 19, 1997", 6-0-0,170,Unknown,,73,73
1856,Mikey Burnett," Apr 12, 1974", 5-2-0,170,Orthodox,THE EASTSIDE ASSASSIN,66,66
1857,Josh Burns," May 15, 1978", 8-10-0,244,Unknown,THE HAMMER,73,73
1858,Nah-Shon Burrell," Feb 05, 1990", 15-7-0 (1 NC),170,Orthodox,THE ROCK N ROLLA,71,71
1859,Martin Buschkamp," Jan 06, 1991", 9-0-0 (1 NC),145,Orthodox,,69,69
1860,Bubba Bush," Jul 24, 1985", 8-3-0 (1 NC),185,Orthodox,THE FIGHTIN' TEXAS AGGIE,72,72
1861,Murilo Bustamante," Jul 30, 1966", 15-8-1,183,Orthodox,,74,74
1862,Eduardo Bustillos," Jun 02, 1987", 5-3-0,135,Unknown,,68,68
1863,Jason Butcher," Oct 23, 1984", 10-2-0,185,Unknown,,75,75
1864,Raphael Butler," Jan 04, 1984", 9-2-1,261,Unknown,THE SILENCER,75,75
1865,Michael Byrnes," Jul 17, 1990", 5-3-0,155,Unknown,,71,71
1866,Ricky Calatayud," Oct 10, 1982", 16-2-0,125,Unknown,,69,69
1867,Darrion Caldwell," Dec 19, 1987", 10-1-0,135,Unknown,THE WOLF,70,70
1868,Taylor Callens," May 21, 1991", 6-0-0,155,Unknown,,70,70
1869,Joe Camacho," Mar 10, 1972", 13-19-3,155,Orthodox,,69,69
1870,Wagner Campos," Jul 31, 1981", 12-10-0,145,Southpaw,GALETO,66,66
1871,Derek Campos," Apr 01, 1988", 19-6-0,155,Unknown,THE STALLION,69,69
1872,Ronaldo Candido," Apr 24, 1989", 6-0-0,125,Southpaw,PACMAN,66,66
1873,Jose Canseco," Jul 02, 1964", 0-1-0,240,Orthodox,,76,76
1874,Bo Cantrell," Feb 08, 1969", 10-10-0,235,Orthodox,REDRUM,74,74
1875,Paul Capaldo," Dec 27, 1996", 6-0-0,135,Unknown,,67,67
1876,Gina Carano," Apr 16, 1982", 7-1-0,145,Orthodox,CONVICTION,68,68
1877,Dos Caras Jr.," May 25, 1977", 9-5-0,225,Orthodox,,76,76
1878,Phil Cardella," Jul 09, 1976", 8-5-0,155,Unknown,,71,71
1879,Tim Caron," Jul 24, 1987", 7-1-0 (1 NC),185,Orthodox,THE BEAR,73,73
1880,Cain Carrizosa," Jul 22, 1986", 10-3-0,155,Orthodox,THE INSANE,68,68
1881,Shonie Carter," May 03, 1972", 51-31-7 (1 NC),170,Southpaw,MR. INTERNATIONAL,70,70
1882,Bruno Carvalho," Jun 07, 1982", 10-5-0,154,Unknown,,68,68
1883,Rafael Carvalho," Jul 27, 1986", 14-1-0,185,Unknown,,75,75
1884,Bendy Casimir," Jun 10, 1980", 20-14-2,145,Southpaw,,65,65
1885,Joe Cason," Jan 19, 1988", 9-1-0,205,Unknown,,75,75
1886,Gil Castillo," Oct 21, 1965", 8-5-0,170,Southpaw,,69,69
1887,Jenna Castillo," May 05, 1982", 1-0-0,125,Unknown,,62,62
1888,Luke Caudillo," Nov 30, 1980", 17-17-0,155,Orthodox,LIL' HULK,67,67
1889,Adam Cella," Jun 26, 1985", 6-8-0,170,Unknown,EL NATUREL,74,74
1890,Jared Chaffee," Dec 15, 1984", 5-2-0,155,Unknown,,70,70
1891,Ansar Chalangov," Oct 30, 1979", 14-5-0,170,Orthodox,,69,69
1892,Dan Charles," Sep 24, 1985", 10-6-1,228,Unknown,THE MAN,74,74
1893,Gabriel Checco," Apr 03, 1986", 10-2-0,185,Switch,ZANGIEF,73,73
1894,Albert Cheng," Feb 07, 1985", 7-4-0,170,Orthodox,,71,71
1895,Fabio Cherant," Nov 25, 1994", 7-2-0,205,Southpaw,WATER BUFFALO,73,73
1896,Sako Chivitchian," Mar 11, 1984", 8-1-0,155,Unknown,,71,71
1897,Mu Bae Choi," Jun 27, 1970", 12-6-0,230,Orthodox,,74,74
1898,Hong Man Choi," Oct 30, 1980", 4-5-0,330,Orthodox,TECHNO GOLIATH,86,86
1899,Will Chope," Sep 08, 1990", 34-13-0,145,Switch,THE KILL,76,76
1900,Dan Christison," Apr 26, 1972", 20-7-0,265,Orthodox,THE SANDMAN,80,80
1901,Anthony Christodoulou," Jul 30, 1987", 12-7-0,155,Orthodox,,69,69
1902,Mike Ciesnolevicz," Oct 28, 1979", 19-4-0 (1 NC),235,Orthodox,,72,72
1903,Branko Cikatic," Oct 03, 1954", 0-2-0,215,Orthodox,,73,73
1904,Johnny Cisneros," Feb 05, 1980", 9-6-0,170,Unknown,THE TATTOOED TERROR,71,71
1905,Laverne Clark," Dec 02, 1973", 27-21-1,170,Orthodox,,71,71
1906,Logan Clark," Feb 16, 1985", 18-6-0,185,Orthodox,,74,74
1907,Dominic Clark," Aug 01, 1985", 10-7-0,155,Unknown,,70,70
1908,Josh Clopton," Jul 11, 1981", 6-2-1,145,Orthodox,THE GENTLEMAN,66,66
1909,Darryl Cobb," Aug 04, 1980", 6-8-0,185,Unknown,,69,69
1910,Dave Cochran," May 10, 1973", 26-29-1,155,Unknown,,66,66
1911,Dakota Cochrane," May 01, 1986", 29-12-0,155,Unknown,,68,68
1912,John Cofer," Apr 29, 1984", 8-4-0,155,Southpaw,THE POTTER,69,69
1913,Devin Cole," Oct 01, 1976", 20-10-1,240,Orthodox,,76,76
1914,Ivan Cole," Nov 30, 1990", 2-3-0,135,Unknown,JP,69,69
1915,Cortez Coleman," Jan 28, 1982", 13-8-0,185,Unknown,HOLLYWOOD,73,73
1916,Christian Colombo," Jul 01, 1980", 8-3-1,265,Orthodox,,77,77
1917,Wes Combs," Jun 18, 1973", 20-6-0,205,Orthodox,THE SOLDIER,74,74
1918,Marcos Conrado Jr.," Mar 14, 1982", 5-1-0,220,Orthodox,,74,74
1919,Jeremiah Constant," Jul 19, 1974", 11-8-0 (1 NC),240,Orthodox,,73,73
1920,Chad Cook," Nov 07, 1979", 10-12-0,205,Unknown,,74,74
1921,Brett Cooper," Jul 02, 1987", 23-12-0,170,Orthodox,,72,72
1922,Kit Cope," Mar 17, 1977", 6-7-0,170,Orthodox,HAVOC,72,72
1923,Josh Copeland," Oct 20, 1982", 12-4-0,265,Orthodox,CUDDLY BEAR,73,73
1924,Muhsin Corbbrey," May 18, 1978", 17-9-0,155,Orthodox,,70,70
1925,Wesley Correira," Nov 11, 1978", 20-16-0,260,Orthodox,CABBAGE,75,75
1926,JC Cottrell," Nov 04, 1989", 17-5-0,155,Orthodox,,69,69
1927,JR Coughran," May 17, 1994", 4-1-0,145,Orthodox,BAM BAM,66,66
1928,Kim Couture," Dec 18, 1975", 3-8-0,135,Orthodox,SUGAR FREE,68,68
1929,Nikk Covert," Aug 04, 1969", 3-4-0,185,Unknown,THE BRICK,68,68
1930,Jeff Cox," Aug 02, 1968", 10-7-0,155,Orthodox,THE GRINDER,70,70
1931,Dan Cramer," Oct 31, 1985", 11-4-0,170,Orthodox,,74,74
1932,Alberto Crane," Jul 14, 1976", 15-5-0,155,Orthodox,,65,65
1933,Paul Creighton," Jun 04, 1970", 3-1-0,155,Southpaw,,66,66
1934,Richard Crunkilton," Nov 25, 1979", 19-4-0,155,Orthodox,CLEAT,67,67
1935,Marcio Cruz," Apr 24, 1978", 8-3-0,232,Orthodox,PE DE PANO,76,76
1936,Jay Cucciniello," Jul 23, 1986", 8-1-0,155,Orthodox,,67,67
1937,Abel Cullum," Apr 21, 1987", 20-6-0,139,Orthodox,THE SILENT ASSASSIN,67,67
1938,Hugo Cunha," Feb 04, 1993", 6-0-0,250,Unknown,SILVERBACK,76,76
1939,Pat Curran," Aug 31, 1987", 22-7-0,145,Unknown,PADDY MIKE,69,69
1940,Chris Curtis," Jul 15, 1987", 19-5-0,170,Orthodox,ACTION-MAN,70,70
1941,Gleidson Cutis," Feb 07, 1989", 7-4-0,155,Orthodox,PONEY,69,69
1942,Sarah D'alelio," Dec 13, 1980", 11-7-0,145,Unknown,THE MONSTER,67,67
1943,Marcos da Matta," Mar 18, 1973", 11-3-0,145,Unknown,PARRUMPINHA,64,64
1944,Henrique Da Silva Lopes," Mar 08, 1985", 5-2-0,240,Unknown,MONTANHA,75,75
1945,Dave Dalgliesh," Apr 05, 1978", 30-19-2,205,Orthodox,,74,74
1946,Leonardo Damiani," Aug 30, 1990", 10-2-1,170,Unknown,PUPPY,70,70
1947,Cindy Dandois," Oct 26, 1984", 8-3-0,135,Orthodox,BATTLECAT,67,67
1948,Alexandre Dantas," Mar 01, 1979", 0-3-0,238,Orthodox,CAFE,74,74
1949,Eduardo Dantas," Feb 03, 1989", 20-4-0,135,Unknown,DUDU,70,70
1950,Sean Daugherty," Dec 04, 1975", 0-2-0,175,Unknown,,72,72
1951,Justin Davis," Apr 01, 1983", 13-16-0,205,Unknown,DANGEROUS,71,71
1952,Danny Davis," Jul 28, 1982", 13-11-1,170,Unknown,,74,74
1953,Angel De Anda," May 28, 1985", 18-6-0,225,Orthodox,THE DREAM,69,69
1954,Rodrigo de Lima," Mar 12, 1991", 8-3-1,155,Orthodox,MONSTRO,67,67
1955,Edilberto de Oliveira," Nov 22, 1982", 29-15-2,170,Orthodox,CROCOTA,72,72
1956,Jorge de Oliveira," Jan 22, 1980", 9-2-0,155,Orthodox,BLADE,68,68
1957,Maria De Oliveira Neta," Dec 12, 1996", 10-5-0,115,Orthodox,,65,65
1958,Tom DeBlass," May 14, 1982", 9-2-0,185,Orthodox,,72,72
1959,Shane del Rosario," Sep 23, 1983", 11-2-0,250,Southpaw,,76,76
1960,Ante Delija," Aug 07, 1990", 17-3-0,245,Orthodox,WALKING TROUBLE,76,76
1961,Jason DeLucia," Jul 24, 1969", 33-21-1,190,Southpaw,,71,71
1962,Nick Denis," Oct 11, 1983", 11-3-0,135,Orthodox,THE NINJA OF LOVE,67,67
1963,Thomas Denny," Apr 19, 1971", 27-21-1,170,Orthodox,THE WILDMAN,70,70
1964,Booker DeRousse," Mar 23, 1981", 6-5-0,205,Unknown,,74,74
1965,Edwin DeWees," Aug 07, 1982", 38-17-0 (1 NC),185,Orthodox,BABYFACE,73,73
1966,Thomas Diagne," Sep 03, 1983", 6-6-1,154,Unknown,,73,73
1967,Eldo Xavier Dias," Jul 16, 1964", 0-1-0,180,Unknown,,71,71
1968,Rafael Dias," Oct 20, 1979", 17-12-2,145,Orthodox,,69,69
1969,Adrian Diaz," Apr 26, 1988", 11-4-1,145,Southpaw,,70,70
1970,Mark Dickman," Jul 19, 1984", 11-3-0,145,Unknown,TRICKY,69,69
1971,Josh Diekmann," Oct 09, 1976", 15-8-0 (1 NC),246,Unknown,THE FREIGHT TRAIN,64,64
1972,Kyle Dietz," Apr 29, 1986", 5-2-0,135,Orthodox,,68,68
1973,Rodolfo Marques Diniz," Jan 23, 1984", 23-9-1,135,Unknown,,66,66
1974,Rico DiSciullo," Oct 12, 1986", 9-2-0 (1 NC),135,Orthodox,,68,68
1975,AJ Dobson," Jan 18, 1992", 5-0-0 (1 NC),170,Unknown,,74,74
1976,David Dodd," Sep 22, 1973", 4-7-0,200,Orthodox,,74,74
1977,Mike Dolce," Apr 15, 1976", 5-10-0,185,Unknown,SKULL CRACKER,71,71
1978,Cameron Dollar," May 12, 1987", 11-5-0,155,Orthodox,,71,71
1979,John Donaldson," Jul 09, 1992", 2-2-0,145,Unknown,J.T.,68,68
1980,Geronimo dos Santos," Aug 17, 1980", 39-19-0,264,Orthodox,MONDRAGON,75,75
1981,Antonio Dos Santos," Jul 21, 1988", 6-4-0,185,Orthodox,JUNIOR ALPHA,70,70
1982,Oleksandr Doskalchuk," Mar 13, 1990", 10-2-0,125,Southpaw,,66,66
1983,David Douglas," Aug 16, 1981", 9-7-0,155,Unknown,TARZAN,71,71
1984,Derek Downey," Apr 27, 1980", 11-4-0,185,Orthodox,,73,73
1985,John Doyle," Nov 21, 1976", 11-22-0 (1 NC),205,Orthodox,THE IRON BULL,71,71
1986,Edson Drago," Aug 29, 1977", 11-7-0,220,Orthodox,,76,76
1987,Robert Drysdale," Oct 05, 1981", 7-0-0 (1 NC),205,Orthodox,,75,75
1988,Hugo Duarte," Aug 09, 1968", 6-3-0,240,Orthodox,,72,72
1989,Milana Dudieva," Aug 04, 1989", 11-6-0,135,Orthodox,,63,63
1990,Adin Duenas," Jul 02, 1988", 6-1-0,145,Unknown,,66,66
1991,Alexis Dufresne," Aug 31, 1990", 6-3-0,135,Orthodox,SNEAKY ZEBRA,69,69
1992,Kelly Dullanty," Nov 04, 1977", 4-2-0,155,Orthodox,PSYCHO,68,68
1993,Albert Duraev," Jan 05, 1989", 13-3-0,170,Unknown,MACHETE,71,71
1994,Luiz Dutra," May 06, 1982", 13-6-1,170,Orthodox,BESOURO,71,71
1995,Rilley Dutro," Sep 03, 1987", 11-4-0,125,Orthodox,,68,68
1996,Cody East," Jun 29, 1988", 12-3-0,245,Orthodox,THE FREIGHT TRAIN,75,75
1997,Vincent Eazelle," Dec 07, 1980", 9-2-0,155,Unknown,THE REAL DEAL,71,71
1998,Ross Ebanez," May 18, 1975", 20-10-0 (3 NC),154,Southpaw,THE BOSS,69,69
1999,Abdul-Kerim Edilov," Nov 25, 1991", 17-4-0,205,Orthodox,,74,74
2000,Justin Eilers," Jun 28, 1978", 19-7-1,235,Orthodox,THE HAMMER,73,73
2001,Jon Olav Einemo," Dec 10, 1975", 6-3-0,253,Orthodox,THE VIKING,78,78
2002,Saul Elizondo," Jul 17, 1985", 6-8-0,135,Unknown,,67,67
2003,Lisa Ellis," Nov 15, 1982", 15-11-0,115,Unknown,,64,64
2004,Anna Elmose," Oct 06, 1984", 3-2-0,115,Orthodox,PANDA,63,63
2005,Aaron Ely," Mar 18, 1989", 5-2-0,135,Unknown,THE CYBORG,68,68
2006,Sovannahry Em," Jun 26, 1992", 3-1-0,135,Unknown,THE SWEET SAVAGE,64,64
2007,Aleksander Emelianenko," Aug 02, 1981", 23-7-0,255,Orthodox,,78,78
2008,Marius Enache," Oct 16, 1975", 3-3-0,155,Unknown,,71,71
2009,Alex Enlund," May 27, 1987", 14-2-0 (1 NC),145,Orthodox,,70,70
2010,Ian Entwistle," Nov 19, 1986", 9-3-0,135,Orthodox,ENTY,65,65
2011,Konstantin Erokhin," Jan 31, 1983", 9-3-0,230,Orthodox,,71,71
2012,Eric Esch," Aug 03, 1968", 15-10-1,350,Orthodox,BUTTERBEAN,71,71
2013,Doug Evans," Oct 10, 1980", 13-10-0,155,Orthodox,,69,69
2014,Dan Evensen," Jun 01, 1974", 11-4-0,250,Orthodox,THE VIKING,75,75
2015,Ron Faircloth," Aug 16, 1979", 33-20-0 (1 NC),205,Orthodox,,69,69
2016,Rinat Fakhretdinov," Sep 28, 1991", 18-1-0,185,Unknown,GLADIATOR,72,72
2017,Maiquel Falcao," Mar 08, 1981", 37-10-0 (1 NC),185,Orthodox,BIG RIG,71,71
2018,Pedro Falcao," Jul 30, 1992", 14-3-0,135,Unknown,PEDRINHO,66,66
2019,Brodie Farber," Jul 05, 1980", 16-7-0,170,Orthodox,,73,73
2020,Kalindra Faria," Jul 23, 1986", 18-8-1,125,Switch,,67,67
